name;barcode;price;weight;type;discount;ageRestriction
Milk;1001;1.00;1.0;NORMAL;0.00;0
Apple;1002;0.50;0.2;WEIGHT_BASED;0.00;0
Beer;1003;1.50;0.5;NORMAL;0.00;16
Chips;1004;1.20;0.3;DISCOUNTED;0.10;0
Coke;1005;0.99;0.5;NORMAL;0.00;0
Vodka;1006;7.00;0.7;WEIGHT_BASED;0.00;18
Oranges;1007;0.40;0.3;NORMAL;0.00;0
Wine;1008;5.00;0.75;NORMAL;0.00;16
Coffee;1009;3.00;0.5;NORMAL;0.00;0
Toothpaste;1010;2.50;0.2;NORMAL;0.00;0
Chocolate;1011;1.50;0.3;DISCOUNTED;0.20;0
Soda;1012;1.20;0.5;NORMAL;0.00;0
Cheese;1013;3.00;0.4;NORMAL;0.00;0
Bread;1014;1.20;0.4;NORMAL;0.00;0
Chicken;1015;6.50;1.5;NORMAL;0.00;0
Whiskey;1016;20.00;1.0;NORMAL;0.00;18
Bananas;1017;2.50;0.5;WEIGHT_BASED;0.00;0
Toast;1018;1.70;0.4;NORMAL;0.00;0
Butter;1019;1.50;0.2;NORMAL;0.00;0
Pen;1020;0.80;0.05;DISCOUNTED;0.25;0
