seq,role,name,gender,dateOfBirth,passportID,iris,fingerprint,bookingID,flight,from,to,departure,arrival,bookingClass,seat,countCheckedBaggage,checkedBaggage,warrant
1,Passenger,Harry Byrne,MALE,1967-05-11,U9DWBVAOH,/./-/-.-./.-./-/-..-../-/,-.::--:.:.-::.-.--:.-.:-.:..::--.:-..-:.:-..-:.:,G99FG1,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,1A,2,19.7 19.3,NO
2,Passenger,Lottie Ellis,FEMALE,2016-11-27,YZ5MSAWSZ,------..-//./..//--/--//.,.::-..-.:..-.:.:-----:.::.:--:--:.....:-::.--.:.,BX6CFI,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,1C,2,16.8 18,NO
3,Passenger,Flora Gordon,FEMALE,1999-09-14,PBGIYFHLM,////.-.///-../-./.-.../-/,.:..:.:-:.-..:-:.....-:.-:::.-.:....-:.-:..-.::.,6X20SK,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,1D,2,18.9 19.8,NO
4,Passenger,Scarlet Watts,FEMALE,1963-09-23,U4QXAAHNX,...-..-.../-..-./--/-./--,::-..-:--.---...-::-..-::.::::--.-:-:::.:-:...-.,TWYFUF,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,1G,2,17.2 20,NO
5,Passenger,Skye Martin,FEMALE,2009-11-14,DJE9B823U,.///..-//-/-//-/.///..--/,.::-::-.:-...::-:.--:::.-:.:.....::-:.-::.-:.--:,J70IOF,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,1H,2,21.9 16.5,NO
6,Passenger,Noel White,MALE,2017-09-30,13A0RCCE1,.-...//.---//--.//---./-.,--.:.-.:.-.--:.:--.:.-:.-..-.-:--:-:::::-.-.----,FJAUJ4,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,1K,2,18.6 17.3,NO
7,Passenger,Kaiden Bailey,MALE,1979-09-16,DFA9WWE44,//...///--/--.-//../-/.-.,--:--.:.-.:-:-:.-:.-:::-.---:-.-:::::.:-.-..::--,MHJPOR,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,2A,2,21.2 18.3,NO
8,Passenger,Stefan Watts,MALE,2002-10-12,OWZUA9RO2,.//.-/----//.-/--./.-//.-,:-:.:..--:--:.:::-:..--::.::....-:::..----.:.--:,EFJ251,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,2C,2,19.5 16.6,NO
9,Passenger,Dottie King,FEMALE,1964-07-20,YT940E72B,//--..-.-.----/-.---///-.,-..:.:...:.-.:....:.:-:---::..-.---:-.--.:-.::.-,4EGBYY,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,2D,2,20.1 19.2,NO
10,Passenger,Mark Barker,MALE,2010-10-28,I0KHV1R0B,///.-././/./-/--.//-////.,...-:-:.:-...--:.-...::--.-..-:::.-::-:..::.::.:,PYGCXM,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,2G,2,20.1 21.8,NO
11,Passenger,Tristan Green,MALE,2008-02-23,4UDP5H950,---./..-////////.--..--.-,..:---:.:...:.-.-:--..::-:.--..-:---:.-.:---:::.,809TS4,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,2H,2,16.2 16.8,NO
12,Passenger,Hayden Williamson,MALE,2005-02-11,AKHC7BZGX,-..-.../..-././/../--.../,.-:.---.:----..:-.::-.-.::..-.:..:---::.-::::---,OE1CXX,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,2K,2,20.8 17.7,NO
13,Passenger,Belle Walsh,FEMALE,1983-03-16,GD6UNFHI9,-.--../---./----.-.-./--/,.------:--.::.-..--::-:-...---.:.-::-.:...-....:,OC44GS,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,3A,2,21 21.2,NO
